title,plays,duration,release_date,isrc,source
Paresthisis,126179,3:50,2003-12-04,,MusicMetricsVault.com
Triplos Kafes,124704,3:11,2015-11-30,,MusicMetricsVault.com
Kardia Apo Petra,124273,4:14,2000-11-16,,MusicMetricsVault.com
Mono I Agapi,124155,2:45,2006-01-01,,MusicMetricsVault.com
Ola Ta Lefta - Live Version,122233,2:18,2005-01-27,,MusicMetricsVault.com
Protimo Na Pethaino - Themis G. Remix,121394,4:02,2016-11-28,,MusicMetricsVault.com
Kipseli,120700,3:23,1988-06-23,,MusicMetricsVault.com
Aima - Antonis Dimitriadis Remix,117817,2:60,2022-07-18,,MusicMetricsVault.com
S' Eho Epithimisi - Live Version,116721,1:37,2005-01-27,,MusicMetricsVault.com
Ipervoles,116707,3:53,1991-02-07,,MusicMetricsVault.com
Na 'Se Kala - Live Version,115184,1:48,2005-01-27,,MusicMetricsVault.com
Erimi Poli,114327,4:20,2003-12-04,,MusicMetricsVault.com
Se Chreiazomai - Hotel Ermou Live Version,112128,3:57,2018-07-23,,MusicMetricsVault.com
Apopse Lipis Apo 'Do,109460,4:25,2000-11-16,,MusicMetricsVault.com
Oti Mou Zitisis,108493,5:59,1996-02-29,,MusicMetricsVault.com
Oto Stop,108253,3:04,2004-01-01,,MusicMetricsVault.com
Maura Gualia,106680,4:25,2025-01-01,,MusicMetricsVault.com
De S' Allazo - Live Version,105618,1:28,1984-03-14,,MusicMetricsVault.com
Ke Ti Egine - Live,105537,0:51,2005-01-27,,MusicMetricsVault.com
Apo Makria Ke Agapimeni - Remix by Alex Papaconstantinou,103948,2:11,2009-12-25,,MusicMetricsVault.com
An S' Erotefto,103910,3:29,2008-12-09,,MusicMetricsVault.com
Ebnefsi - Live,102456,2:27,1993-12-17,,MusicMetricsVault.com
Pragmata,102300,4:26,2025-01-01,,MusicMetricsVault.com
Horis To Moro Mou - Live Version,101959,1:45,2005-01-27,,MusicMetricsVault.com
Tora,101676,3:20,1988-06-23,,MusicMetricsVault.com
Dodeka - Live,101676,2:35,1993-12-17,,MusicMetricsVault.com
Ola Ta Lefta - Live Version,101435,1:33,2005-01-27,,MusicMetricsVault.com
Ase Tous Erotes - Hotel Ermou Live Version,98569,3:34,2018-07-23,,MusicMetricsVault.com
Sentonia - Live Version,97842,1:56,2005-01-27,,MusicMetricsVault.com
Dodeka - Live Version,97364,2:44,1984-03-14,,MusicMetricsVault.com
Monaxia,96862,5:10,2019-06-03,,MusicMetricsVault.com
Ora Na Fevgo - Hotel Ermou Live Version,95479,3:25,2018-07-23,,MusicMetricsVault.com
Paresthisis - Live Version,94365,2:58,2005-01-27,,MusicMetricsVault.com
Gi' Alla - Hotel Ermou Live Version,93963,2:60,2018-07-23,,MusicMetricsVault.com
Sta Chronia Tis Ypomonis - Hotel Ermou Live Version,93408,2:34,2018-07-23,,MusicMetricsVault.com
Oso Exo Foni,92682,1:31,2025-01-01,,MusicMetricsVault.com
Paralio - Live Version,90870,3:37,2005-01-27,,MusicMetricsVault.com
Na Ton Agapas,90733,4:43,1998-04-01,,MusicMetricsVault.com
Kravgi - Live Version,88821,5:58,2005-01-27,,MusicMetricsVault.com
I Synteleia Tou Kosmou,86176,4:38,2019-06-03,,MusicMetricsVault.com
Ena Sou Leo Ena,85606,4:35,2025-01-01,,MusicMetricsVault.com
O Antras Tis Zois Mou - Live Version,85251,1:17,2005-01-27,,MusicMetricsVault.com
Sta Evdominta Ennea,84842,2:34,2019-01-17,,MusicMetricsVault.com
Ekatommiria - Live Version,84389,1:39,2005-01-27,,MusicMetricsVault.com
Erota Mou Apiste - Hotel Ermou Live Version,84285,3:10,2018-07-23,,MusicMetricsVault.com
Gazi - Live Version,84014,2:06,2005-01-27,,MusicMetricsVault.com
Ta Heirotera,82669,5:13,2019-06-03,,MusicMetricsVault.com
Istoria Mou - Live Version,82242,2:37,2005-01-27,,MusicMetricsVault.com
Kane Kati,82200,4:52,2008-12-09,,MusicMetricsVault.com
Horis Ta Psemata,82099,4:04,2015-11-30,,MusicMetricsVault.com
X,81563,4:52,2002-10-03,,MusicMetricsVault.com
Enarksi,80734,2:54,2025-01-01,,MusicMetricsVault.com
Girna,80029,3:13,2003-12-04,,MusicMetricsVault.com
Den Apofasisa Ego,79899,4:19,2003-12-04,,MusicMetricsVault.com
Moni Mou - Live Version,79615,0:57,2005-01-27,,MusicMetricsVault.com
Ora Na Fevgo,79506,3:53,2012-03-12,,MusicMetricsVault.com
Kala Xristougenna,78992,3:43,2012-12-24,,MusicMetricsVault.com
Travma - Live Version,77617,5:40,2005-01-27,,MusicMetricsVault.com
Tha Pio Apopse To Fegari - Live Version,77265,1:26,2005-01-27,,MusicMetricsVault.com
Esorouha - Live Version,77208,1:59,1984-03-14,,MusicMetricsVault.com
Den Thelo Na Xeris - Live Version,76696,1:53,2005-01-27,,MusicMetricsVault.com
Paraxenes Ikones,76558,3:57,2003-12-04,,MusicMetricsVault.com
Auti Ti Fora,76538,6:34,2025-01-01,,MusicMetricsVault.com
Eimai To Simera Ki Eisai To Hthes,76446,3:38,1982-12-17,,MusicMetricsVault.com
Antidoto - Live Version,76133,0:54,2005-01-27,,MusicMetricsVault.com
Se Hlomo To Vlepo,74646,3:18,2003-12-04,,MusicMetricsVault.com
Pente Hronia Dikasmenos,74408,5:25,2008-12-09,,MusicMetricsVault.com
Agapa Me (Abrazame) - Live Version,74169,1:30,2005-01-27,,MusicMetricsVault.com
Intro - Hotel Ermou Live Instrumental Version,74122,2:35,2018-07-23,,MusicMetricsVault.com
Magiko Xali,73792,4:55,2025-01-01,,MusicMetricsVault.com
Ta Mathitika Hronia - Live,73090,2:25,1993-12-17,,MusicMetricsVault.com
Ola Ine Entaxi,72656,5:00,2019-01-17,,MusicMetricsVault.com
Ime Poli Kala - Dance Mix,72074,5:49,1995-09-18,,MusicMetricsVault.com
Nostalgia,70986,5:19,2000-11-16,,MusicMetricsVault.com
